,author,title,description,url,urlToImage,publishedAt,content,source.name,category
449,By Bbc North America Editor Jon Sopel,"JON SOPEL: Donald Trump is cutting an increasingly isolated, solitary figure after election loss - Daily Mail","JON SOPEL:When Donald Trump flew to meet Kim Jung Un for their historic meeting in June, 2018, the one thing I'm told the president obsessed about was what it would all look like.",https://www.dailymail.co.uk/news/article-8997305/JON-SOPEL-Donald-Trump-cutting-increasingly-isolated-solitary-figure-election-loss.html,https://i.dailymail.co.uk/1s/2020/11/29/00/36216338-0-image-a-343_1606611269800.jpg,2020-11-29T00:55:00Z,"When Donald Trump flew to meet Kim Jung Un for their historic meeting in June, 2018, the one thing I'm told the president obsessed about aboard Air Force One on the flight to South East Asia was what",Daily Mail,general
452,Danny Murphy,DANNY MURPHY'S MANAGERIAL REPORT CARD: Frank Lampard is over-performing - Daily Mail,"DANNY MURPHY:  It's refreshing to see some of the 'Big Six' clubs go back to their roots, but Arsenal, Manchester United and Chelsea are each showing different levels of progression.",https://www.dailymail.co.uk/sport/tball/article-8997363/DANNY-MURPHYS-MANAGERIAL-REPORT-CARD-Frank-Lampard-performing.html,https://i.dailymail.co.uk/1s/2020/11/29/00/36215828-0-image-a-52_1606608854185.jpg,2020-11-29T00:33:00Z,"One of the most fascinating aspects to this season is how the Big Six are divided by the managers they have chosen.
Jurgen Klopp, Pep Guardiola and Jose Mourinho are titans who have all won the Prem",Daily Mail,general
453,https://www.facebook.com/bbcnews,London Bridge attack: 'I think about it every single day' - BBC News,Former prisoner Marc Conway remembers the London Bridge attack one year on.,https://www.bbc.com/news/uk-55084126,https://ichef.bbci.co.uk/news/1024/branded_news/CA03/production/_115651715_screengrabmarc2.jpg,2020-11-29T00:14:00Z,"media captionFormer prisoner Marc Conway pays tribute to those who died in the London Bridge attack.
A former prisoner who was one of the people who held terrorist Usman Khan down on London Bridge h",BBC News,general
454,https://www.facebook.com/bbcnews,Dame Jocelyn Bell-Burnell: Portrait honour for 'trailblazing' NI scientist - BBC News,"Dame Jocelyn Bell-Burnell takes ""rightful place"" among the world's ""most distinguished scientists"".",https://www.bbc.co.uk/news/uk-northern-ireland-55115120,https://ichef.bbci.co.uk/news/1024/branded_news/C2C2/production/_115685894_damejocelyn.jpg,2020-11-28T22:57:00Z,"By Eimear FlanaganBBC News NI
image copyrightStephen Shankland
image captionA portrait of Dame Jocelyn Bell-Burnell has been unveiled by the Royal Society in London
A leading astrophysicist, who w",BBC News,general
455,Harriet Brewis,Boris Johnson says England’s tiers could have February 3 expiry date in bid to quell Tory rebellion - Evening Standard,The Prime Minister is proposing a ‘sunset’ clause that could see tiered restrictions end in 9 weeks,https://www.standard.co.uk/news/politics/coronavirus-tiers-february-3-sunset-boris-johnson-b94232.html,https://static.standard.co.uk/2020/11/28/22/newFile.jpg,2020-11-28T22:31:00Z,"The Prime Minister wrote a letter to his Conservative colleagues on Saturday evening, confirming that the new rules which are set to come into force on Wednesday could end in nine weeks time.
Under ",Evening Standard,general
456,Tom Williams,Paris protests against police brutality turn violent - Metro.co.uk,Black-clad demonstrators fought with riot police at the end of a rally against new security legislation.,https://metro.co.uk/2020/11/28/paris-protests-against-police-brutality-turn-violent-france-13671524/,https://i1.wp.com/metro.co.uk/wp-content/uploads/2020/11/PRI_174185828_1606602111.jpg?quality=90&strip=all&w=1200&h=630&crop=1&zoom=1&ssl=1,2020-11-28T22:21:00Z,"There were ugly scenes in the French capital as night fell (Picture: Getty Images/AP)
Violent clashes have broken out in Paris during protests against new security legislation.
Hundreds of black-cl",Metro.co.uk,general
457,https://www.facebook.com/bbcnews,Mohsen Fakhrizadeh: What were the motives behind his killing? - BBC News,Iran's top nuclear scientist Mohsen Fakhrizadeh was assassinated on Friday.,https://www.bbc.com/news/world-middle-east-55118140,https://ichef.bbci.co.uk/news/1024/branded_news/DDF1/production/_115671865_064537263-1.jpg,2020-11-28T22:16:00Z,"By Massoumeh TorfehResearch Associate, LSE &amp; Soas
media captionThe road near Tehran where gunmen opened fire on Mohsen Fakhrizadeh
Unknown to most Iranians until Friday, when he was assassinate",BBC News,general
458,By Omar Wahid For The Mail On Sunday,The shadowy Islamic State cell looking to free Western jihadi brides - Daily Mail,"Reporters spent weeks communicating with a 'fixer' in Turkey before catching a 'courier' on camera in London picking up what he thought was a £4,500 donation to the terror group's cause.",https://www.dailymail.co.uk/news/article-8996835/The-shadowy-Islamic-State-cell-looking-free-Western-jihadi-brides.html,https://i.dailymail.co.uk/1s/2020/11/28/20/36212052-0-image-a-102_1606597199060.jpg,2020-11-28T21:58:00Z,"A shadowy Islamic State fundraising cell seeking to free Western jihadi brides from Kurdish refugee camps in Syria has been exposed by The Mail on Sunday.
Undercover reporters spent weeks communicat",Daily Mail,general
459,"By
Danielle Sheridan,",London in Tier 2 - here's what it means for you - Telegraph.co.uk,"London will return to Tier 2 restrictions after the end of Britain's national lockdown, the Health Secretary, has confirmed",https://www.telegraph.co.uk/news/2020/11/28/tier-will-london-lockdown-ends/,https://img.youtube.com/vi/t5zSeZAE_T4/mqdefault.jpg,2020-11-28T21:35:00Z,"Why is London not in Tier 3?
The new tier system has been decided by government ministers, who have categorised areas according to several factors, including its case detection rate, the pressure on",Telegraph.co.uk,general
460,Mary Graham,'World class Test and Trace? Dad's Army more like' - Kent Online,"A dad, whose daughter was among 1,300 people told they wrongly had Covid-19, hasn't held back in his criticism.",https://www.kentonline.co.uk/maidstone/news/world-class-test-and-trace-dads-army-more-like-238289/,https://www.kentonline.co.uk/_media/img/4ILDSHC0IDQOOQTGJN1E.jpg,2020-11-28T21:16:00Z,"A father who whose daughter was wrongly told she had coronavirus after a laboratory error with NHS Test and Trace has blasted the system, calling it 'straight from the Dad's Army frontline.'
Duncan ",Kent Online,general
461,Guardian staff reporter,UK and France sign deal to make Channel migrant crossings 'unviable' - The Guardian,"Both countries agree to double police patrols on route already used by more than 8,000 people this year",https://amp.theguardian.comuk-news/2020/nov/28/uk-and-france-sign-deal-to-make-channel-migrant-crossings-unviable,https://i.guim.co.uk/img/media/77a1b7c07e8d5f0be7a21a59625de37833dde0f8/0_51_3273_1964/master/3273.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=d96fb645160b40c869edd5248a4b9401,2020-11-28T20:55:00Z,"Britain and France have signed a new agreement aimed at curbing the number of migrants crossing the Channel in small boats.
The home secretary, Priti Patel, and her French counterpart, Gérald Darman",Theguardian.comuk-news,general
462,Matt Ng,Dell's Black Friday weekend continues - Eurogamer.net,Pick up a powerhouse gaming rig or monitor with this scintillating Dell deals.,https://www.eurogamer.net/articles/2020-11-28-dells-black-friday-weekend-continues,https://d2skuhm0vrry40.cloudfront.net/2020/articles/2020-11-28-17-57/Black_friday_alienware.jpg/EG11/resize/1200x-1/Black_friday_alienware.jpg,2020-11-28T18:14:35Z,"Dell is an absolutely solid brand in the world of PC gaming, with a huge range of high-spec gaming PCs, laptops and monitors for the discerning keyboard and mouse warrior.
This year, Dell's Black Fr",Eurogamer.net,general
463,Laura Hartley,Another 11 coronavirus deaths across Surrey as cases increase further - Surrey Live,Cases are increasing and haven risen from the previous day,https://www.getsurrey.co.uk/news/surrey-news/another-11-coronavirus-deaths-across-19365060,https://i2-prod.getsurrey.co.uk/incoming/article19355223.ece/ALTERNATES/s1200/0_Coronavirus-Tue-Nov-3-2020.jpg,2020-11-28T17:18:00Z,"Another 11 people have died of coronavirus in Surrey hospital trusts, the latest daily figures show (Saturday).
Ashford and St Peter's NHS Foundation Trust recorded the most deaths with five, while ",Get Surrey,general
465,Dave Burke,UK coronavirus death toll rises by 479 as anti-lockdown protesters clash with police - Mirror Online,"The latest death toll was released by the Department of Health, as hundreds of Covid-deniers take to the streets of London to protest against lockdowns",https://www.mirror.co.uk/news/uk-news/breaking-uk-coronavirus-death-toll-23084117,https://i2-prod.mirror.co.uk/incoming/article23083113.ece/ALTERNATES/s1200/0_Inside-the-Covid-Wards-and-Intensive-Care-Unit-at-the-Royal-Liverpool-HospitalPic-Andrew-Teebay.jpg,2020-11-28T16:24:00Z,"The UK's coronavirus death toll has risen to 58,030 after a further 479 lives were claimed by the disease.
 The tragic figure was released by the Department of Health on a day thousands of Covid den",Mirror Online,general
466,Push Square,Still No Solution for Missing PS4 to PS5 Upgrades of Ubisoft Games - Push Square,No free option available,https://www.pushsquare.com/news/2020/11/still_no_solution_for_missing_ps4_to_ps5_upgrades_of_ubisoft_games,https://images.pushsquare.com/1223aa9f686f8/1280x720.jpg,2020-11-28T14:45:00Z,"Update (28th November, 2020): It's been over a week since this issue surfaced, and Ubisoft's forums are still filled with disgruntled fans unable to access the free PlayStation 5 upgrades promised fo",Push Square,general
467,Mark Edwards,Coronavirus Northern Ireland: Nine further deaths and 315 new cases reported - Belfast Telegraph,"A further nine people have died after contracting coronavirus in Northern Ireland, the Department of Health has confirmed.",https://www.belfasttelegraph.co.uk/news/northern-ireland/coronavirus-northern-ireland-nine-further-deaths-and-315-new-cases-reported-39802039.html,https://www.belfasttelegraph.co.uk/news/uk/bc46a/39799326.ece/AUTOCROP/w1240h700/bpanews_98a656ec-5e53-4f17-b037-14bd757cd48c_embedded256820998,2020-11-28T11:48:00Z,"A further nine people have died after contracting coronavirus in Northern Ireland, the Department of Health has confirmed. 
Eight people have died in the last 24 hours, with one person passing away ",Belfast Telegraph,general
469,Owen Gough,"Apple MacBook Air 2020, new iPads are cheaper this Black Friday - digitalspy.com",More Apple products are dropping in price.,https://www.digitalspy.com/tech/best-tech-deals/a34807632/apple-macbook-air-ipad-pro-2020-black-friday/,"https://hips.hearstapps.com/digitalspyuk.cdnds.net/18/44/1541004709-ipad-pro-1540998474-1.jpg?crop=1.00xw:0.502xh;0,0.165xh&resize=1200:*",2020-11-27T21:22:00Z,"Black Friday and the Cyber Weekend is the best time of year to drop all your cash on some new gadgets, with heavy discounts on some of the best products and devices popping up all over the place. 
Y",digitalspy.com,general
470,ashley cowie,Were Neanderthal Thumbs Better Adapted for Tennis? - Ancient Origins,"If you needed repairs done 50,000 years ago you would have been better off with a team of Neanderthals rather than Homo sapiens, a new study has shown.",https://www.ancient-origins.net/news-history-archaeology/neanderthal-thumbs-0014597,https://www.ancient-origins.net/sites/default/files/field/image/Neanderthal-thumbs.jpg,2020-11-27T20:59:00Z,"If you needed repairs done 50,000 years ago you would have been better off with a team of Neanderthals rather than Homo sapiens, a new study has shown. The new research has been published in the jour",Ancient Origins,general
